Rehearsal Date (Saturday),Service Date (Sunday),Tentative Rehearsal Time,Director,Guitarist,Drummer,Bassist,Keyboardist,Vocalist_1,Vocalist_2
2026-01-03,2026-01-04,Saturday morning,Tomás Ortega,Sofía Medina,Bruno Vega,Mateo Cabrera,Valentina Salazar,Isabella Palacios,Sofía Medina
2026-01-10,2026-01-11,Saturday morning,Valentina Fuentes,Camila Miranda,Nicolás Mendoza,,,Mateo Santos,Camila Miranda
2026-01-17,2026-01-18,Saturday afternoon,Samuel Molina,Mariana Campos,Tomás Ortega,Mateo Cabrera,Samuel Ortega,Lucía Rojas,Mariana Campos
2026-01-24,2026-01-25,Saturday morning,Daniel Herrera,Sofía Medina,Bruno Vega,,Valentina Salazar,Nicolás Mendoza,Sofía Medina
2026-01-31,2026-02-01,Saturday afternoon,Samuel Ortega,Camila Miranda,Mariana Campos,Lucía Mendoza,,Mateo Santos,Camila Miranda
2026-02-07,2026-02-08,Saturday morning,Isabella Palacios,Daniel Herrera,Tomás Ortega,Mateo Cabrera,,Nicolás Mendoza,Daniel Herrera
2026-02-14,2026-02-15,Saturday afternoon,Gabriel Romero,Sofía Medina,Mariana Campos,Samuel Molina,,Valentina Fuentes,Sofía Medina
2026-02-21,2026-02-22,Saturday morning,Bruno Vega,Camila Miranda,Tomás Ortega,Mateo Cabrera,,Mateo Santos,Camila Miranda
2026-02-28,2026-03-01,Saturday morning,Valentina Salazar,Daniel Herrera,Nicolás Mendoza,,,Daniel Herrera,
2026-03-07,2026-03-08,Saturday afternoon,Mateo Cabrera,Camila Miranda,Mariana Campos,Lucía Mendoza,Samuel Ortega,Lucía Rojas,Camila Miranda
2026-03-14,2026-03-15,Saturday morning,Sofía Medina,Daniel Herrera,Tomás Ortega,,,Isabella Palacios,Daniel Herrera
2026-03-21,2026-03-22,Saturday morning,Nicolás Mendoza,Camila Miranda,Bruno Vega,Mateo Cabrera,,Mateo Santos,Camila Miranda
2026-03-28,2026-03-29,Saturday afternoon,Lucía Rojas,Daniel Herrera,Mariana Campos,Samuel Molina,Gabriel Romero,Daniel Herrera,
2026-04-04,2026-04-05,Saturday morning,Tomás Ortega,Sofía Medina,Bruno Vega,Mateo Cabrera,Valentina Salazar,Isabella Palacios,Sofía Medina
2026-04-11,2026-04-12,Saturday morning,Valentina Fuentes,Camila Miranda,Nicolás Mendoza,,,Mateo Santos,Camila Miranda
2026-04-18,2026-04-19,Saturday afternoon,Samuel Molina,Mariana Campos,Tomás Ortega,Lucía Mendoza,Samuel Ortega,Lucía Rojas,Mariana Campos
2026-04-25,2026-04-26,Saturday morning,Daniel Herrera,Sofía Medina,Bruno Vega,Mateo Cabrera,Valentina Salazar,Nicolás Mendoza,Sofía Medina
2026-05-02,2026-05-03,Saturday afternoon,Samuel Ortega,Camila Miranda,Mariana Campos,Samuel Molina,,Mateo Santos,Camila Miranda
2026-05-09,2026-05-10,Saturday morning,Isabella Palacios,Daniel Herrera,Tomás Ortega,Mateo Cabrera,,Valentina Fuentes,Daniel Herrera
2026-05-16,2026-05-17,Saturday afternoon,Gabriel Romero,Camila Miranda,Mariana Campos,Lucía Mendoza,,Lucía Rojas,Camila Miranda
2026-05-23,2026-05-24,Saturday morning,Bruno Vega,Sofía Medina,Nicolás Mendoza,Mateo Cabrera,,Mateo Santos,Sofía Medina
2026-05-30,2026-05-31,Saturday morning,Valentina Salazar,Daniel Herrera,Tomás Ortega,,,Isabella Palacios,Daniel Herrera
2026-06-06,2026-06-07,Saturday afternoon,Mateo Cabrera,Camila Miranda,Mariana Campos,Samuel Molina,,Lucía Rojas,Camila Miranda
2026-06-13,2026-06-14,Saturday morning,Sofía Medina,Daniel Herrera,Bruno Vega,,,Valentina Fuentes,Daniel Herrera
2026-06-20,2026-06-21,Saturday morning,Nicolás Mendoza,Camila Miranda,Tomás Ortega,Mateo Cabrera,,Mateo Santos,Camila Miranda
2026-06-27,2026-06-28,Saturday afternoon,Lucía Rojas,Daniel Herrera,Mariana Campos,Lucía Mendoza,Gabriel Romero,Daniel Herrera,
