Rehearsal Date (Saturday),Service Date (Sunday),Tentative Rehearsal Time,Director,Guitarist,Drummer,Bassist,Keyboardist,Vocalist_1,Vocalist_2
2026-01-03,2026-01-04,Saturday afternoon,Gabriel Romero,Daniel Herrera,Tomás Ortega,Samuel Molina,Samuel Ortega,Lucía Rojas,Daniel Herrera
2026-01-10,2026-01-11,Saturday morning,Valentina Fuentes,Camila Miranda,Bruno Vega,Mateo Cabrera,Valentina Salazar,Nicolás Mendoza,Camila Miranda
2026-01-17,2026-01-18,Saturday afternoon,Tomás Ortega,Daniel Herrera,Mariana Campos,Samuel Molina,Samuel Ortega,Mateo Santos,Daniel Herrera
2026-01-24,2026-01-25,Saturday morning,Mateo Cabrera,Sofía Medina,Bruno Vega,,,Nicolás Mendoza,Sofía Medina
2026-01-31,2026-02-01,Saturday afternoon,Samuel Ortega,Camila Miranda,Tomás Ortega,Lucía Mendoza,Gabriel Romero,Lucía Rojas,Camila Miranda
2026-02-07,2026-02-08,Saturday morning,Isabella Palacios,Daniel Herrera,Bruno Vega,Mateo Cabrera,Valentina Salazar,Mateo Santos,Daniel Herrera
2026-02-14,2026-02-15,Saturday afternoon,Samuel Molina,Sofía Medina,Mariana Campos,,Samuel Ortega,Valentina Fuentes,Sofía Medina
2026-02-21,2026-02-22,Saturday morning,Nicolás Mendoza,Camila Miranda,Tomás Ortega,Mateo Cabrera,,Isabella Palacios,Camila Miranda
2026-02-28,2026-03-01,Saturday afternoon,Daniel Herrera,Mariana Campos,Lucía Mendoza,Samuel Molina,,Mateo Santos,Mariana Campos
2026-03-07,2026-03-08,Saturday morning,Valentina Salazar,Sofía Medina,Bruno Vega,Mateo Cabrera,,Isabella Palacios,Sofía Medina
2026-03-14,2026-03-15,Saturday afternoon,Lucía Rojas,Camila Miranda,Tomás Ortega,Samuel Molina,Samuel Ortega,Valentina Fuentes,Camila Miranda
2026-03-21,2026-03-22,Saturday morning,Bruno Vega,Daniel Herrera,Nicolás Mendoza,Mateo Cabrera,,Mateo Santos,Daniel Herrera
2026-03-28,2026-03-29,Saturday afternoon,Sofía Medina,Camila Miranda,Mariana Campos,Lucía Mendoza,,Camila Miranda,
2026-04-04,2026-04-05,Saturday afternoon,Gabriel Romero,Daniel Herrera,Tomás Ortega,Samuel Molina,Samuel Ortega,Lucía Rojas,Daniel Herrera
2026-04-11,2026-04-12,Saturday morning,Valentina Fuentes,Camila Miranda,Bruno Vega,Mateo Cabrera,Valentina Salazar,Isabella Palacios,Camila Miranda
2026-04-18,2026-04-19,Saturday afternoon,Tomás Ortega,Daniel Herrera,Mariana Campos,Samuel Molina,Samuel Ortega,Mateo Santos,Daniel Herrera
2026-04-25,2026-04-26,Saturday morning,Mateo Cabrera,Sofía Medina,Bruno Vega,,,Nicolás Mendoza,Sofía Medina
2026-05-02,2026-05-03,Saturday afternoon,Samuel Ortega,Camila Miranda,Tomás Ortega,Lucía Mendoza,Gabriel Romero,Lucía Rojas,Camila Miranda
2026-05-09,2026-05-10,Saturday morning,Isabella Palacios,Daniel Herrera,Bruno Vega,Mateo Cabrera,Valentina Salazar,Valentina Fuentes,Daniel Herrera
2026-05-16,2026-05-17,Saturday afternoon,Samuel Molina,Camila Miranda,Mariana Campos,,Samuel Ortega,Mateo Santos,Camila Miranda
2026-05-23,2026-05-24,Saturday morning,Nicolás Mendoza,Sofía Medina,Bruno Vega,Mateo Cabrera,,Sofía Medina,
2026-05-30,2026-05-31,Saturday afternoon,Daniel Herrera,Camila Miranda,Tomás Ortega,Lucía Mendoza,Samuel Ortega,Camila Miranda,
2026-06-06,2026-06-07,Saturday morning,Valentina Salazar,Mateo Cabrera,Bruno Vega,,,Isabella Palacios,Mateo Cabrera
2026-06-13,2026-06-14,Saturday afternoon,Lucía Rojas,Camila Miranda,Mariana Campos,Samuel Molina,Samuel Ortega,Valentina Fuentes,Camila Miranda
2026-06-20,2026-06-21,Saturday morning,Bruno Vega,Daniel Herrera,Tomás Ortega,Mateo Cabrera,,Mateo Santos,Daniel Herrera
2026-06-27,2026-06-28,Saturday afternoon,Sofía Medina,Camila Miranda,Mariana Campos,Lucía Mendoza,,Camila Miranda,
