Rehearsal Date (Saturday),Service Date (Sunday),Tentative Rehearsal Time,Director,Guitarist,Drummer,Bassist,Keyboardist,Vocalist_1,Vocalist_2
2026-01-03,2026-01-04,Saturday afternoon,Gabriel Romero,Sofía Medina,Tomás Ortega,Lucía Mendoza,Samuel Ortega,Lucía Rojas,Sofía Medina
2026-01-10,2026-01-11,Saturday morning,Valentina Fuentes,Daniel Herrera,Bruno Vega,Mateo Cabrera,,Mateo Santos,Daniel Herrera
2026-01-17,2026-01-18,Saturday morning,Nicolás Mendoza,Camila Miranda,Tomás Ortega,,,Isabella Palacios,Camila Miranda
2026-01-24,2026-01-25,Saturday afternoon,Sofía Medina,Daniel Herrera,Mariana Campos,Samuel Molina,,Lucía Rojas,Daniel Herrera
2026-01-31,2026-02-01,Saturday morning,Tomás Ortega,Camila Miranda,Bruno Vega,Mateo Cabrera,Valentina Salazar,Mateo Santos,Camila Miranda
2026-02-07,2026-02-08,Saturday afternoon,Daniel Herrera,Mariana Campos,Lucía Mendoza,Samuel Molina,,Mariana Campos,
2026-02-14,2026-02-15,Saturday afternoon,Samuel Ortega,Sofía Medina,Tomás Ortega,Mateo Cabrera,Gabriel Romero,Valentina Fuentes,Sofía Medina
2026-02-21,2026-02-22,Saturday morning,Bruno Vega,Camila Miranda,Nicolás Mendoza,,,Isabella Palacios,Camila Miranda
2026-02-28,2026-03-01,Saturday afternoon,Samuel Molina,Daniel Herrera,Mariana Campos,Mateo Cabrera,,Mateo Santos,Daniel Herrera
2026-03-07,2026-03-08,Saturday afternoon,Lucía Rojas,Sofía Medina,Tomás Ortega,Lucía Mendoza,Samuel Ortega,Sofía Medina,
2026-03-14,2026-03-15,Saturday morning,Isabella Palacios,Camila Miranda,Bruno Vega,,,Valentina Fuentes,Camila Miranda
2026-03-21,2026-03-22,Saturday afternoon,Mateo Cabrera,Daniel Herrera,Mariana Campos,Samuel Molina,Samuel Ortega,Mateo Santos,Daniel Herrera
2026-03-28,2026-03-29,Saturday morning,Valentina Salazar,Sofía Medina,Bruno Vega,,,Nicolás Mendoza,Sofía Medina
2026-04-04,2026-04-05,Saturday afternoon,Gabriel Romero,Camila Miranda,Tomás Ortega,Lucía Mendoza,Samuel Ortega,Lucía Rojas,Camila Miranda
2026-04-11,2026-04-12,Saturday morning,Valentina Fuentes,Daniel Herrera,Bruno Vega,Mateo Cabrera,,Isabella Palacios,Daniel Herrera
2026-04-18,2026-04-19,Saturday morning,Nicolás Mendoza,Camila Miranda,Tomás Ortega,,,Mateo Santos,Camila Miranda
2026-04-25,2026-04-26,Saturday afternoon,Sofía Medina,Daniel Herrera,Mariana Campos,Samuel Molina,,Lucía Rojas,Daniel Herrera
2026-05-02,2026-05-03,Saturday morning,Tomás Ortega,Camila Miranda,Bruno Vega,Mateo Cabrera,Valentina Salazar,Isabella Palacios,Camila Miranda
2026-05-09,2026-05-10,Saturday afternoon,Daniel Herrera,Valentina Fuentes,Mariana Campos,Samuel Molina,,Mateo Santos,Valentina Fuentes
2026-05-16,2026-05-17,Saturday afternoon,Samuel Ortega,Camila Miranda,Tomás Ortega,Lucía Mendoza,Gabriel Romero,Lucía Rojas,Camila Miranda
2026-05-23,2026-05-24,Saturday morning,Bruno Vega,Sofía Medina,Nicolás Mendoza,Mateo Cabrera,Valentina Salazar,Sofía Medina,
2026-05-30,2026-05-31,Saturday afternoon,Samuel Molina,Daniel Herrera,Mariana Campos,,Samuel Ortega,Mateo Santos,Daniel Herrera
2026-06-06,2026-06-07,Saturday afternoon,Lucía Rojas,Camila Miranda,Tomás Ortega,Mateo Cabrera,,Camila Miranda,
2026-06-13,2026-06-14,Saturday morning,Isabella Palacios,Sofía Medina,Bruno Vega,,,Valentina Fuentes,Sofía Medina
2026-06-20,2026-06-21,Saturday afternoon,Mateo Cabrera,Daniel Herrera,Mariana Campos,Lucía Mendoza,Samuel Ortega,Mateo Santos,Daniel Herrera
2026-06-27,2026-06-28,Saturday morning,Valentina Salazar,Camila Miranda,Bruno Vega,,,Nicolás Mendoza,Camila Miranda
