Fecha Ensayo (Sábado),Fecha Presentación (Domingo),Horario Tentativo de Ensayo,Director,Guitarrista,Baterista,Bajista,Tecladista,Corista_1,Corista_2
2026-01-31,2026-02-01,Sábado en la mañana,Sofía Medina,Daniel Herrera,Bruno Vega,Mateo Cabrera,,Mateo Santos,Daniel Herrera
2026-02-07,2026-02-08,Sábado en la mañana,Valentina Salazar,Camila Miranda,Nicolás Mendoza,,,Isabella Palacios,Camila Miranda
2026-02-14,2026-02-15,Sábado en la tarde,Tomás Ortega,Daniel Herrera,Mariana Campos,Samuel Molina,Samuel Ortega,Lucía Rojas,Daniel Herrera
2026-02-21,2026-02-22,Sábado en la mañana,Bruno Vega,Camila Miranda,Nicolás Mendoza,Mateo Cabrera,,Mateo Santos,Camila Miranda
2026-02-28,2026-03-01,Sábado en la tarde,Samuel Molina,Sofía Medina,Mariana Campos,Lucía Mendoza,,Sofía Medina,
2026-03-07,2026-03-08,Sábado en la mañana,Mateo Cabrera,Daniel Herrera,Tomás Ortega,,Valentina Salazar,Isabella Palacios,Daniel Herrera
2026-03-14,2026-03-15,Sábado en la tarde,Lucía Rojas,Camila Miranda,Mariana Campos,Samuel Molina,Gabriel Romero,Mateo Santos,Camila Miranda
2026-03-21,2026-03-22,Sábado en la mañana,Nicolás Mendoza,Mateo Cabrera,Bruno Vega,,,Isabella Palacios,Mateo Cabrera
2026-03-28,2026-03-29,Sábado en la tarde,Daniel Herrera,Sofía Medina,Mariana Campos,Lucía Mendoza,,Sofía Medina,
2026-04-04,2026-04-05,Sábado en la tarde,Samuel Ortega,Camila Miranda,Tomás Ortega,Samuel Molina,,Mateo Santos,Camila Miranda
2026-04-11,2026-04-12,Sábado en la mañana,Valentina Fuentes,Daniel Herrera,Bruno Vega,Mateo Cabrera,Valentina Salazar,Nicolás Mendoza,Daniel Herrera
2026-04-18,2026-04-19,Sábado en la mañana,Isabella Palacios,Camila Miranda,Tomás Ortega,,,Camila Miranda,
2026-04-25,2026-04-26,Sábado en la tarde,Gabriel Romero,Daniel Herrera,Mariana Campos,Lucía Mendoza,,Lucía Rojas,Daniel Herrera
2026-05-02,2026-05-03,Sábado en la mañana,Sofía Medina,Camila Miranda,Bruno Vega,Mateo Cabrera,,Mateo Santos,Camila Miranda
2026-05-09,2026-05-10,Sábado en la mañana,Valentina Salazar,Daniel Herrera,Nicolás Mendoza,,,Valentina Fuentes,Daniel Herrera
2026-05-16,2026-05-17,Sábado en la tarde,Tomás Ortega,Camila Miranda,Mariana Campos,Samuel Molina,Samuel Ortega,Lucía Rojas,Camila Miranda
2026-05-23,2026-05-24,Sábado en la mañana,Bruno Vega,Sofía Medina,Nicolás Mendoza,Mateo Cabrera,,Mateo Santos,Sofía Medina
2026-05-30,2026-05-31,Sábado en la tarde,Samuel Molina,Daniel Herrera,Mariana Campos,Lucía Mendoza,Samuel Ortega,Daniel Herrera,
2026-06-06,2026-06-07,Sábado en la mañana,Mateo Cabrera,Camila Miranda,Tomás Ortega,,Valentina Salazar,Isabella Palacios,Camila Miranda
2026-06-13,2026-06-14,Sábado en la tarde,Lucía Rojas,Sofía Medina,Mariana Campos,Samuel Molina,Gabriel Romero,Mateo Santos,Sofía Medina
2026-06-20,2026-06-21,Sábado en la mañana,Nicolás Mendoza,Camila Miranda,Bruno Vega,Mateo Cabrera,,Isabella Palacios,Camila Miranda
2026-06-27,2026-06-28,Sábado en la tarde,Daniel Herrera,Mariana Campos,Lucía Mendoza,Samuel Molina,,Mariana Campos,
2026-07-04,2026-07-05,Sábado en la tarde,Samuel Ortega,Sofía Medina,Tomás Ortega,Mateo Cabrera,,Mateo Santos,Sofía Medina
2026-07-11,2026-07-12,Sábado en la mañana,Valentina Fuentes,Camila Miranda,Bruno Vega,,Valentina Salazar,Nicolás Mendoza,Camila Miranda
2026-07-18,2026-07-19,Sábado en la mañana,Isabella Palacios,Daniel Herrera,Tomás Ortega,Mateo Cabrera,,Daniel Herrera,
2026-07-25,2026-07-26,Sábado en la tarde,Gabriel Romero,Camila Miranda,Mariana Campos,Lucía Mendoza,,Lucía Rojas,Camila Miranda
