Rehearsal Date (Saturday),Service Date (Sunday),Tentative Rehearsal Time,Director,Guitarist,Drummer,Bassist,Keyboardist,Vocalist_1,Vocalist_2
2026-01-03,2026-01-04,Saturday afternoon,Gabriel Romero,Daniel Herrera,Thomas Walker,Lucia Mendoza,Samuel Ortega,Matthew Turner,Daniel Herrera
2026-01-10,2026-01-11,Saturday morning,Isabella Palacios,Camila Miranda,Bruno Vega,Matthew Brooks,,Valentina Fuentes,Camila Miranda
2026-01-17,2026-01-18,Saturday afternoon,Samuel Ortega,Daniel Herrera,Mariana Campos,Samuel Molina,,Lucy Bennett,Daniel Herrera
2026-01-24,2026-01-25,Saturday morning,Bruno Vega,Sophia Carter,Nicholas Reed,,Valentina Salazar,Matthew Turner,Sophia Carter
2026-01-31,2026-02-01,Saturday afternoon,Daniel Herrera,Camila Miranda,Thomas Walker,Lucia Mendoza,Samuel Ortega,Camila Miranda,
2026-02-07,2026-02-08,Saturday morning,Nicholas Reed,Matthew Brooks,Bruno Vega,,,Isabella Palacios,Matthew Brooks
2026-02-14,2026-02-15,Saturday afternoon,Samuel Molina,Sophia Carter,Mariana Campos,,Gabriel Romero,Lucy Bennett,Sophia Carter
2026-02-21,2026-02-22,Saturday morning,Matthew Brooks,Camila Miranda,Bruno Vega,,,Matthew Turner,Camila Miranda
2026-02-28,2026-03-01,Saturday afternoon,Valentina Fuentes,Daniel Herrera,Mariana Campos,Lucia Mendoza,,Daniel Herrera,
2026-03-07,2026-03-08,Saturday morning,Valentina Salazar,Sophia Carter,Thomas Walker,Matthew Brooks,,Isabella Palacios,Sophia Carter
2026-03-14,2026-03-15,Saturday afternoon,Lucy Bennett,Camila Miranda,Mariana Campos,Samuel Molina,,Matthew Turner,Camila Miranda
2026-03-21,2026-03-22,Saturday morning,Thomas Walker,Daniel Herrera,Bruno Vega,Matthew Brooks,,Nicholas Reed,Daniel Herrera
2026-03-28,2026-03-29,Saturday afternoon,Sophia Carter,Camila Miranda,Mariana Campos,Lucia Mendoza,,Valentina Fuentes,Camila Miranda
2026-04-04,2026-04-05,Saturday afternoon,Gabriel Romero,Daniel Herrera,Thomas Walker,Samuel Molina,Samuel Ortega,Matthew Turner,Daniel Herrera
2026-04-11,2026-04-12,Saturday morning,Isabella Palacios,Camila Miranda,Bruno Vega,Matthew Brooks,Valentina Salazar,Nicholas Reed,Camila Miranda
2026-04-18,2026-04-19,Saturday afternoon,Samuel Ortega,Daniel Herrera,Mariana Campos,Samuel Molina,,Lucy Bennett,Daniel Herrera
2026-04-25,2026-04-26,Saturday morning,Bruno Vega,Sophia Carter,Nicholas Reed,,,Valentina Fuentes,Sophia Carter
2026-05-02,2026-05-03,Saturday afternoon,Daniel Herrera,Camila Miranda,Thomas Walker,Lucia Mendoza,Samuel Ortega,Matthew Turner,Camila Miranda
2026-05-09,2026-05-10,Saturday morning,Nicholas Reed,Valentina Salazar,Bruno Vega,Matthew Brooks,,Isabella Palacios,Valentina Salazar
2026-05-16,2026-05-17,Saturday afternoon,Samuel Molina,Camila Miranda,Mariana Campos,,Gabriel Romero,Lucy Bennett,Camila Miranda
2026-05-23,2026-05-24,Saturday morning,Matthew Brooks,Sophia Carter,Bruno Vega,,,Matthew Turner,Sophia Carter
2026-05-30,2026-05-31,Saturday afternoon,Valentina Fuentes,Daniel Herrera,Thomas Walker,Lucia Mendoza,Samuel Ortega,Daniel Herrera,
2026-06-06,2026-06-07,Saturday morning,Valentina Salazar,Camila Miranda,Bruno Vega,Matthew Brooks,,Isabella Palacios,Camila Miranda
2026-06-13,2026-06-14,Saturday afternoon,Lucy Bennett,Daniel Herrera,Mariana Campos,Samuel Molina,,Matthew Turner,Daniel Herrera
2026-06-20,2026-06-21,Saturday morning,Thomas Walker,Camila Miranda,Bruno Vega,Matthew Brooks,,Nicholas Reed,Camila Miranda
2026-06-27,2026-06-28,Saturday afternoon,Sophia Carter,Daniel Herrera,Mariana Campos,Lucia Mendoza,,Valentina Fuentes,Daniel Herrera
