Rehearsal Date (Saturday),Service Date (Sunday),Tentative Rehearsal Time,Director,Guitarist,Drummer,Bassist,Keyboardist,Vocalist_1,Vocalist_2
2026-01-03,2026-01-04,Saturday morning,Daniel Herrera,Camila Miranda,Thomas Walker,Matthew Brooks,Valentina Salazar,Isabella Palacios,Camila Miranda
2026-01-10,2026-01-11,Saturday afternoon,Lucy Bennett,Samuel Molina,Mariana Campos,,Gabriel Romero,Samuel Molina,
2026-01-17,2026-01-18,Saturday morning,Bruno Vega,Daniel Herrera,Thomas Walker,Matthew Brooks,,Nicholas Reed,Daniel Herrera
2026-01-24,2026-01-25,Saturday afternoon,Valentina Fuentes,Sophia Carter,Mariana Campos,Lucia Mendoza,,Matthew Turner,Sophia Carter
2026-01-31,2026-02-01,Saturday afternoon,Samuel Ortega,Camila Miranda,Thomas Walker,Samuel Molina,,Lucy Bennett,Camila Miranda
2026-02-07,2026-02-08,Saturday morning,Valentina Salazar,Daniel Herrera,Bruno Vega,Matthew Brooks,,Isabella Palacios,Daniel Herrera
2026-02-14,2026-02-15,Saturday afternoon,Samuel Molina,Sophia Carter,Mariana Campos,,Samuel Ortega,Matthew Turner,Sophia Carter
2026-02-21,2026-02-22,Saturday morning,Nicholas Reed,Camila Miranda,Thomas Walker,Matthew Brooks,,Isabella Palacios,Camila Miranda
2026-02-28,2026-03-01,Saturday afternoon,Gabriel Romero,Daniel Herrera,Mariana Campos,Lucia Mendoza,,Valentina Fuentes,Daniel Herrera
2026-03-07,2026-03-08,Saturday morning,Isabella Palacios,Sophia Carter,Bruno Vega,Matthew Brooks,Valentina Salazar,Matthew Turner,Sophia Carter
2026-03-14,2026-03-15,Saturday afternoon,Thomas Walker,Camila Miranda,Mariana Campos,Samuel Molina,Samuel Ortega,Lucy Bennett,Camila Miranda
2026-03-21,2026-03-22,Saturday morning,Matthew Brooks,Daniel Herrera,Bruno Vega,,,Nicholas Reed,Daniel Herrera
2026-03-28,2026-03-29,Saturday afternoon,Sophia Carter,Camila Miranda,Mariana Campos,Lucia Mendoza,,Valentina Fuentes,Camila Miranda
2026-04-04,2026-04-05,Saturday morning,Daniel Herrera,Valentina Salazar,Thomas Walker,Matthew Brooks,,Isabella Palacios,Valentina Salazar
2026-04-11,2026-04-12,Saturday afternoon,Lucy Bennett,Camila Miranda,Mariana Campos,Samuel Molina,Gabriel Romero,Matthew Turner,Camila Miranda
2026-04-18,2026-04-19,Saturday morning,Bruno Vega,Daniel Herrera,Thomas Walker,Matthew Brooks,,Nicholas Reed,Daniel Herrera
2026-04-25,2026-04-26,Saturday afternoon,Valentina Fuentes,Sophia Carter,Mariana Campos,Lucia Mendoza,,Sophia Carter,
2026-05-02,2026-05-03,Saturday afternoon,Samuel Ortega,Camila Miranda,Thomas Walker,Samuel Molina,,Lucy Bennett,Camila Miranda
2026-05-09,2026-05-10,Saturday morning,Valentina Salazar,Daniel Herrera,Bruno Vega,Matthew Brooks,,Isabella Palacios,Daniel Herrera
2026-05-16,2026-05-17,Saturday afternoon,Samuel Molina,Camila Miranda,Mariana Campos,,Samuel Ortega,Matthew Turner,Camila Miranda
2026-05-23,2026-05-24,Saturday morning,Nicholas Reed,Sophia Carter,Bruno Vega,Matthew Brooks,,Valentina Fuentes,Sophia Carter
2026-05-30,2026-05-31,Saturday afternoon,Gabriel Romero,Daniel Herrera,Thomas Walker,Lucia Mendoza,Samuel Ortega,Lucy Bennett,Daniel Herrera
2026-06-06,2026-06-07,Saturday morning,Isabella Palacios,Camila Miranda,Bruno Vega,Matthew Brooks,Valentina Salazar,Matthew Turner,Camila Miranda
2026-06-13,2026-06-14,Saturday afternoon,Thomas Walker,Daniel Herrera,Mariana Campos,Samuel Molina,Samuel Ortega,Daniel Herrera,
2026-06-20,2026-06-21,Saturday morning,Matthew Brooks,Camila Miranda,Bruno Vega,,,Nicholas Reed,Camila Miranda
2026-06-27,2026-06-28,Saturday afternoon,Sophia Carter,Valentina Fuentes,Mariana Campos,Lucia Mendoza,,Matthew Turner,Valentina Fuentes
