Rehearsal Date (Saturday),Service Date (Sunday),Tentative Rehearsal Time,Director,Guitarist,Drummer,Bassist,Keyboardist,Vocalist_1,Vocalist_2
2026-01-03,2026-01-04,Saturday afternoon,Matthew Brooks,Camila Miranda,Mariana Campos,Samuel Molina,Samuel Ortega,Matthew Turner,Camila Miranda
2026-01-10,2026-01-11,Saturday morning,Valentina Fuentes,Daniel Herrera,Bruno Vega,,,Isabella Palacios,Daniel Herrera
2026-01-17,2026-01-18,Saturday afternoon,Thomas Walker,Camila Miranda,Mariana Campos,Lucia Mendoza,Gabriel Romero,Lucy Bennett,Camila Miranda
2026-01-24,2026-01-25,Saturday morning,Bruno Vega,Sophia Carter,Nicholas Reed,Matthew Brooks,Valentina Salazar,Matthew Turner,Sophia Carter
2026-01-31,2026-02-01,Saturday afternoon,Samuel Ortega,Daniel Herrera,Thomas Walker,Samuel Molina,,Daniel Herrera,
2026-02-07,2026-02-08,Saturday morning,Nicholas Reed,Camila Miranda,Bruno Vega,Matthew Brooks,,Camila Miranda,
2026-02-14,2026-02-15,Saturday morning,Isabella Palacios,Sophia Carter,Thomas Walker,,,Valentina Fuentes,Sophia Carter
2026-02-21,2026-02-22,Saturday afternoon,Gabriel Romero,Daniel Herrera,Mariana Campos,Lucia Mendoza,,Lucy Bennett,Daniel Herrera
2026-02-28,2026-03-01,Saturday morning,Valentina Salazar,Camila Miranda,Bruno Vega,Matthew Brooks,,Matthew Turner,Camila Miranda
2026-03-07,2026-03-08,Saturday afternoon,Samuel Molina,Sophia Carter,Thomas Walker,,Samuel Ortega,Sophia Carter,
2026-03-14,2026-03-15,Saturday morning,Daniel Herrera,Camila Miranda,Bruno Vega,Matthew Brooks,,Nicholas Reed,Camila Miranda
2026-03-21,2026-03-22,Saturday afternoon,Lucy Bennett,Mariana Campos,Thomas Walker,Lucia Mendoza,Gabriel Romero,Matthew Turner,Mariana Campos
2026-03-28,2026-03-29,Saturday morning,Sophia Carter,Daniel Herrera,Bruno Vega,,Valentina Salazar,Nicholas Reed,Daniel Herrera
2026-04-04,2026-04-05,Saturday afternoon,Matthew Brooks,Camila Miranda,Thomas Walker,Samuel Molina,Samuel Ortega,Camila Miranda,
2026-04-11,2026-04-12,Saturday morning,Valentina Fuentes,Daniel Herrera,Bruno Vega,,,Isabella Palacios,Daniel Herrera
2026-04-18,2026-04-19,Saturday afternoon,Thomas Walker,Camila Miranda,Mariana Campos,Lucia Mendoza,Gabriel Romero,Matthew Turner,Camila Miranda
2026-04-25,2026-04-26,Saturday morning,Bruno Vega,Sophia Carter,Nicholas Reed,Matthew Brooks,Valentina Salazar,Sophia Carter,
2026-05-02,2026-05-03,Saturday afternoon,Samuel Ortega,Daniel Herrera,Thomas Walker,Samuel Molina,,Lucy Bennett,Daniel Herrera
2026-05-09,2026-05-10,Saturday morning,Nicholas Reed,Camila Miranda,Bruno Vega,Matthew Brooks,,Valentina Fuentes,Camila Miranda
2026-05-16,2026-05-17,Saturday morning,Isabella Palacios,Daniel Herrera,Thomas Walker,,,Matthew Turner,Daniel Herrera
2026-05-23,2026-05-24,Saturday afternoon,Gabriel Romero,Sophia Carter,Mariana Campos,Lucia Mendoza,,Lucy Bennett,Sophia Carter
2026-05-30,2026-05-31,Saturday morning,Valentina Salazar,Camila Miranda,Bruno Vega,Matthew Brooks,,Nicholas Reed,Camila Miranda
2026-06-06,2026-06-07,Saturday afternoon,Samuel Molina,Mariana Campos,Thomas Walker,,Samuel Ortega,Matthew Turner,Mariana Campos
2026-06-13,2026-06-14,Saturday morning,Daniel Herrera,Camila Miranda,Bruno Vega,Matthew Brooks,,Valentina Fuentes,Camila Miranda
2026-06-20,2026-06-21,Saturday afternoon,Lucy Bennett,Samuel Molina,Thomas Walker,Lucia Mendoza,Gabriel Romero,Samuel Molina,
2026-06-27,2026-06-28,Saturday morning,Sophia Carter,Daniel Herrera,Bruno Vega,,Valentina Salazar,Nicholas Reed,Daniel Herrera
