Rehearsal Date (Saturday),Service Date (Sunday),Tentative Rehearsal Time,Director,Guitarist,Drummer,Bassist,Keyboardist,Vocalist_1,Vocalist_2
2026-01-03,2026-01-04,Saturday afternoon,Lucy Bennett,Sophia Carter,Thomas Walker,Samuel Molina,Gabriel Romero,Sophia Carter,
2026-01-10,2026-01-11,Saturday morning,Valentina Fuentes,Daniel Herrera,Bruno Vega,Matthew Brooks,,Isabella Palacios,Daniel Herrera
2026-01-17,2026-01-18,Saturday afternoon,Samuel Molina,Camila Miranda,Mariana Campos,Lucia Mendoza,Samuel Ortega,Matthew Turner,Camila Miranda
2026-01-24,2026-01-25,Saturday morning,Nicholas Reed,Sophia Carter,Bruno Vega,Matthew Brooks,Valentina Salazar,Sophia Carter,
2026-01-31,2026-02-01,Saturday afternoon,Thomas Walker,Daniel Herrera,Mariana Campos,Samuel Molina,Samuel Ortega,Lucy Bennett,Daniel Herrera
2026-02-07,2026-02-08,Saturday morning,Isabella Palacios,Camila Miranda,Bruno Vega,Matthew Brooks,,Matthew Turner,Camila Miranda
2026-02-14,2026-02-15,Saturday afternoon,Samuel Ortega,Sophia Carter,Thomas Walker,Samuel Molina,,Valentina Fuentes,Sophia Carter
2026-02-21,2026-02-22,Saturday afternoon,Gabriel Romero,Daniel Herrera,Mariana Campos,Lucia Mendoza,,Lucy Bennett,Daniel Herrera
2026-02-28,2026-03-01,Saturday morning,Valentina Salazar,Camila Miranda,Bruno Vega,Matthew Brooks,,Nicholas Reed,Camila Miranda
2026-03-07,2026-03-08,Saturday afternoon,Daniel Herrera,Samuel Molina,Thomas Walker,,Samuel Ortega,Matthew Turner,Samuel Molina
2026-03-14,2026-03-15,Saturday morning,Sophia Carter,Camila Miranda,Bruno Vega,,,Isabella Palacios,Camila Miranda
2026-03-21,2026-03-22,Saturday afternoon,Matthew Brooks,Daniel Herrera,Mariana Campos,Lucia Mendoza,Samuel Ortega,Daniel Herrera,
2026-03-28,2026-03-29,Saturday morning,Bruno Vega,Camila Miranda,Nicholas Reed,,Valentina Salazar,Matthew Turner,Camila Miranda
2026-04-04,2026-04-05,Saturday afternoon,Lucy Bennett,Sophia Carter,Thomas Walker,Samuel Molina,Gabriel Romero,Sophia Carter,
2026-04-11,2026-04-12,Saturday morning,Valentina Fuentes,Daniel Herrera,Bruno Vega,Matthew Brooks,,Isabella Palacios,Daniel Herrera
2026-04-18,2026-04-19,Saturday afternoon,Samuel Molina,Camila Miranda,Mariana Campos,Lucia Mendoza,Samuel Ortega,Matthew Turner,Camila Miranda
2026-04-25,2026-04-26,Saturday morning,Nicholas Reed,Sophia Carter,Bruno Vega,Matthew Brooks,Valentina Salazar,Sophia Carter,
2026-05-02,2026-05-03,Saturday afternoon,Thomas Walker,Daniel Herrera,Mariana Campos,Samuel Molina,Samuel Ortega,Lucy Bennett,Daniel Herrera
2026-05-09,2026-05-10,Saturday morning,Isabella Palacios,Camila Miranda,Bruno Vega,Matthew Brooks,,Valentina Fuentes,Camila Miranda
2026-05-16,2026-05-17,Saturday afternoon,Samuel Ortega,Daniel Herrera,Thomas Walker,Lucia Mendoza,,Matthew Turner,Daniel Herrera
2026-05-23,2026-05-24,Saturday afternoon,Gabriel Romero,Sophia Carter,Mariana Campos,Samuel Molina,,Lucy Bennett,Sophia Carter
2026-05-30,2026-05-31,Saturday morning,Valentina Salazar,Camila Miranda,Bruno Vega,Matthew Brooks,,Nicholas Reed,Camila Miranda
2026-06-06,2026-06-07,Saturday afternoon,Daniel Herrera,Samuel Molina,Thomas Walker,,Samuel Ortega,Matthew Turner,Samuel Molina
2026-06-13,2026-06-14,Saturday morning,Sophia Carter,Camila Miranda,Bruno Vega,,,Valentina Fuentes,Camila Miranda
2026-06-20,2026-06-21,Saturday afternoon,Matthew Brooks,Daniel Herrera,Mariana Campos,Lucia Mendoza,Samuel Ortega,Daniel Herrera,
2026-06-27,2026-06-28,Saturday morning,Bruno Vega,Camila Miranda,Nicholas Reed,,Valentina Salazar,Matthew Turner,Camila Miranda
