Fecha Ensayo (Sábado),Fecha Presentación (Domingo),Horario Tentativo de Ensayo,Director,Guitarrista,Baterista,Bajista,Tecladista,Corista_1,Corista_2
2026-08-01,2026-08-02,Sábado en la tarde,Tomás Ortega,Daniel Herrera,Mariana Campos,Samuel Molina,Samuel Ortega,Mateo Santos,Daniel Herrera
2026-08-08,2026-08-09,Sábado en la mañana,Nicolás Mendoza,Camila Miranda,Bruno Vega,Mateo Cabrera,,Isabella Palacios,Camila Miranda
2026-08-15,2026-08-16,Sábado en la tarde,Lucía Rojas,Daniel Herrera,Tomás Ortega,Lucía Mendoza,Gabriel Romero,Daniel Herrera,
2026-08-22,2026-08-23,Sábado en la mañana,Mateo Cabrera,Camila Miranda,Bruno Vega,,,Valentina Fuentes,Camila Miranda
2026-08-29,2026-08-30,Sábado en la tarde,Sofía Medina,Daniel Herrera,Mariana Campos,Samuel Molina,Samuel Ortega,Mateo Santos,Daniel Herrera
2026-09-05,2026-09-06,Sábado en la mañana,Valentina Salazar,Camila Miranda,Tomás Ortega,Mateo Cabrera,,Nicolás Mendoza,Camila Miranda
2026-09-12,2026-09-13,Sábado en la tarde,Gabriel Romero,Daniel Herrera,Mariana Campos,Samuel Molina,,Lucía Rojas,Daniel Herrera
2026-09-19,2026-09-20,Sábado en la mañana,Bruno Vega,Camila Miranda,Tomás Ortega,Mateo Cabrera,,Isabella Palacios,Camila Miranda
2026-09-26,2026-09-27,Sábado en la mañana,Daniel Herrera,Sofía Medina,Nicolás Mendoza,,Valentina Salazar,Valentina Fuentes,Sofía Medina
2026-10-03,2026-10-04,Sábado en la mañana,Isabella Palacios,Camila Miranda,Tomás Ortega,Mateo Cabrera,,Mateo Santos,Camila Miranda
2026-10-10,2026-10-11,Sábado en la tarde,Samuel Molina,Daniel Herrera,Mariana Campos,,Gabriel Romero,Lucía Rojas,Daniel Herrera
2026-10-17,2026-10-18,Sábado en la tarde,Samuel Ortega,Camila Miranda,Tomás Ortega,Lucía Mendoza,,Camila Miranda,
2026-10-24,2026-10-25,Sábado en la mañana,Valentina Fuentes,Sofía Medina,Bruno Vega,Mateo Cabrera,Valentina Salazar,Nicolás Mendoza,Sofía Medina
2026-10-31,2026-11-01,Sábado en la tarde,Tomás Ortega,Daniel Herrera,Mariana Campos,Samuel Molina,Samuel Ortega,Mateo Santos,Daniel Herrera
2026-11-07,2026-11-08,Sábado en la mañana,Nicolás Mendoza,Camila Miranda,Bruno Vega,Mateo Cabrera,,Isabella Palacios,Camila Miranda
2026-11-14,2026-11-15,Sábado en la tarde,Lucía Rojas,Daniel Herrera,Tomás Ortega,Samuel Molina,Gabriel Romero,Daniel Herrera,
2026-11-21,2026-11-22,Sábado en la mañana,Mateo Cabrera,Camila Miranda,Bruno Vega,,,Mateo Santos,Camila Miranda
2026-11-28,2026-11-29,Sábado en la tarde,Sofía Medina,Daniel Herrera,Mariana Campos,Lucía Mendoza,,Daniel Herrera,
2026-12-05,2026-12-06,Sábado en la mañana,Valentina Salazar,Camila Miranda,Tomás Ortega,Mateo Cabrera,,Nicolás Mendoza,Camila Miranda
2026-12-12,2026-12-13,Sábado en la tarde,Gabriel Romero,Daniel Herrera,Mariana Campos,Samuel Molina,,Lucía Rojas,Daniel Herrera
2026-12-19,2026-12-20,Sábado en la mañana,Bruno Vega,Camila Miranda,Tomás Ortega,Mateo Cabrera,,Isabella Palacios,Camila Miranda
2026-12-26,2026-12-27,Sábado en la mañana,Daniel Herrera,Sofía Medina,Nicolás Mendoza,,Valentina Salazar,Valentina Fuentes,Sofía Medina
2027-01-02,2027-01-03,Sábado en la mañana,Isabella Palacios,Camila Miranda,Tomás Ortega,Mateo Cabrera,,Mateo Santos,Camila Miranda
2027-01-09,2027-01-10,Sábado en la tarde,Samuel Molina,Daniel Herrera,Mariana Campos,,Gabriel Romero,Lucía Rojas,Daniel Herrera
2027-01-16,2027-01-17,Sábado en la tarde,Samuel Ortega,Camila Miranda,Tomás Ortega,Lucía Mendoza,,Camila Miranda,
2027-01-23,2027-01-24,Sábado en la mañana,Valentina Fuentes,Sofía Medina,Bruno Vega,Mateo Cabrera,Valentina Salazar,Nicolás Mendoza,Sofía Medina
